timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms,player_count
32063,590.5,18.64,-1.00,1.69,-1.0000,-1.0000,469.62,11983,103,-1,0.0,2
32313,623.8,13.03,-1.00,1.60,-1.0000,-1.0000,469.67,11983,103,-1,0.0,2
32563,608.3,13.51,-1.00,1.64,-1.0000,-1.0000,469.73,11983,103,-1,0.0,2
32813,559.1,11.97,-1.00,1.79,-1.0000,-1.0000,469.78,11983,103,-1,0.0,2
33064,618.8,14.57,-1.00,1.62,-1.0000,-1.0000,469.84,11983,103,-1,0.0,2
33315,606.0,11.95,-1.00,1.65,-1.0000,-1.0000,469.89,11983,103,-1,0.0,2
33566,623.1,15.55,-1.00,1.60,-1.0000,-1.0000,469.95,11983,103,-1,0.0,2
33817,621.8,15.03,-1.00,1.61,-1.0000,-1.0000,470.01,11983,103,-1,0.0,2
34068,442.4,17.67,-1.00,2.26,-1.0000,-1.0000,470.08,11995,106,-1,0.0,2
34319,509.1,16.06,-1.00,1.96,-1.0000,-1.0000,470.14,11995,106,-1,0.0,2
34571,581.6,12.90,-1.00,1.72,-1.0000,-1.0000,470.20,11995,106,-1,0.0,2
34821,518.3,18.69,-1.00,1.93,-1.0000,-1.0000,470.25,11995,106,-1,0.0,2
35073,294.6,15.50,-1.00,3.39,-1.0000,-1.0000,470.31,11995,106,-1,0.0,2
35324,325.8,11.44,-1.00,3.07,-1.0000,-1.0000,470.34,11995,106,-1,0.0,2
35575,483.1,14.53,-1.00,2.07,-1.0000,-1.0000,470.37,11995,106,-1,0.0,2
35825,485.8,12.49,-1.00,2.06,-1.0000,-1.0000,470.44,11995,106,-1,0.0,2
36077,484.4,15.02,-1.00,2.06,-1.0000,-1.0000,470.48,12007,108,-1,0.0,2
36327,512.5,12.00,-1.00,1.95,-1.0000,-1.0000,470.54,12007,108,-1,0.0,2
36578,419.8,18.13,-1.00,2.38,-1.0000,-1.0000,470.58,12007,108,-1,0.0,2
36828,360.6,16.10,-1.00,2.77,-1.0000,-1.0000,470.64,12007,108,-1,0.0,2
37079,425.7,22.26,-1.00,2.35,-1.0000,-1.0000,470.69,12007,108,-1,0.0,2
37330,481.0,17.19,-1.00,2.08,-1.0000,-1.0000,470.75,12007,108,-1,0.0,2
37580,95.7,15.59,-1.00,10.45,-1.0000,-1.0000,470.78,12007,108,-1,0.0,2
37832,484.0,11.38,-1.00,2.07,-1.0000,-1.0000,470.83,12007,108,-1,0.0,2
38082,254.2,10.92,-1.00,3.93,-1.0000,-1.0000,470.85,12007,108,-1,0.0,2
38334,465.1,13.43,-1.00,2.15,-1.0000,-1.0000,470.89,12007,108,-1,0.0,2
38585,436.0,15.09,-1.00,2.29,-1.0000,-1.0000,470.94,12007,108,-1,0.0,2
38837,450.6,15.53,-1.00,2.22,-1.0000,-1.0000,470.99,12007,108,-1,0.0,2
39088,496.6,15.52,-1.00,2.01,-1.0000,-1.0000,471.04,12007,108,-1,0.0,2
39338,517.5,10.91,-1.00,1.93,-1.0000,-1.0000,471.10,12007,108,-1,0.0,2
39588,496.8,18.76,-1.00,2.01,-1.0000,-1.0000,471.14,12007,108,-1,0.0,2
39840,453.4,17.06,-1.00,2.21,-1.0000,-1.0000,471.20,12007,108,-1,0.0,2
40090,488.7,16.68,-1.00,2.05,-1.0000,-1.0000,471.25,12007,108,-1,0.0,2
40341,489.2,15.53,-1.00,2.04,-1.0000,-1.0000,471.30,12007,108,-1,0.0,2
40591,484.4,17.20,-1.00,2.06,-1.0000,-1.0000,471.36,12007,108,-1,0.0,2
40841,421.0,19.27,-1.00,2.38,-1.0000,-1.0000,471.64,12343,164,-1,0.0,2
41092,410.7,15.11,-1.00,2.43,-1.0000,-1.0000,472.21,12979,270,-1,0.0,2
41343,166.7,15.03,-1.00,6.00,-1.0000,-1.0000,472.42,13063,284,-1,0.0,2
41594,505.0,13.46,-1.00,1.98,-1.0000,-1.0000,469.50,12739,230,-1,0.0,2
41844,367.6,16.12,-1.00,2.72,-1.0000,-1.0000,469.26,12331,162,-1,0.0,2
